Academic Terms Key,Term Code,Term Description,Term Selector,Term Start Date,Term End Date,Academic Year,Academic Year Desc,Is Current Term,Term Status Indicator,Financial Aid Year,Degree Year,Last Day Of Final Exam,Pre Registration Start Day,Registration Day,First Day Of Classes,Last Day Of Classes,Graduate Award Start Date,Graduate Award End Date,Warehouse Load Date
1998SP,1998SP,Spring Term 1997-1998,1998SP-Spring Term 1997-1998,02/02/1998,05/22/1998,1998,Academic Year 1997-1998,N,P,1998,1998,05/22/1998,11/21/1997,02/02/1998,02/03/1998,05/14/1998,01/16/1998,05/31/1998,01/08/2016
1999SP,1999SP,Spring Term 1998-1999,1999SP-Spring Term 1998-1999,02/02/1999,05/21/1999,1999,Academic Year 1998-1999,N,P,1999,1999,05/21/1999,11/30/1998,02/01/1999,02/02/1999,05/13/1999,01/16/1999,05/31/1999,01/08/2016
2000SP,2000SP,Spring Term 1999-2000,2000SP-Spring Term 1999-2000,01/31/2000,05/19/2000,2000,Academic Year 1999-2000,N,P,2000,2000,05/19/2000,11/30/1999,01/31/2000,02/01/2000,05/11/2000,01/16/2000,05/31/2000,01/08/2016
2001SP,2001SP,Spring Term 2000-2001,2001SP-Spring Term 2000-2001,02/06/2001,05/25/2001,2001,Academic Year 2000-2001,N,P,2001,2001,05/25/2001,11/30/2000,02/05/2001,02/06/2001,05/17/2001,01/16/2001,05/31/2001,01/08/2016
2002SP,2002SP,Spring Term 2001-2002,2002SP-Spring Term 2001-2002,02/04/2002,05/24/2002,2002,Academic Year 2001-2002,N,P,2002,2002,05/24/2002,11/29/2001,02/04/2002,02/05/2002,05/16/2002,01/16/2002,05/31/2002,01/08/2016
2003SP,2003SP,Spring Term 2002-2003,2003SP-Spring Term 2002-2003,02/03/2003,05/23/2003,2003,Academic Year 2002-2003,N,P,2003,2003,05/23/2003,11/29/2002,02/03/2003,02/04/2003,05/15/2003,01/16/2003,05/31/2003,01/08/2016
2004SP,2004SP,Spring Term 2003-2004,2004SP-Spring Term 2003-2004,02/02/2004,05/21/2004,2004,Academic Year 2003-2004,N,P,2004,2004,05/21/2004,11/29/2003,02/02/2004,02/03/2004,05/13/2004,01/16/2004,05/31/2004,01/08/2016
2005SP,2005SP,Spring Term 2004-2005,2005SP-Spring Term 2004-2005,01/31/2005,05/20/2005,2005,Academic Year 2004-2005,N,P,2005,2005,05/20/2005,12/01/2004,01/31/2005,02/01/2005,05/12/2005,01/16/2005,05/31/2005,01/08/2016
1998SU,1998SU,Summer Term 1998,1998SU-Summer Term 1998,06/08/1998,08/18/1998,1998,Academic Year 1997-1998,N,P,1999,1999,08/18/1998,06/09/1998,06/08/1998,06/08/1998,08/18/1998,06/01/1998,08/31/1998,01/08/2016
2001SU,2001SU,Summer Term 2001,2001SU-Summer Term 2001,06/11/2001,08/21/2001,2001,Academic Year 2000-2001,N,P,2002,2002,08/21/2001,05/01/2000,06/11/2001,06/11/2001,08/21/2001,06/01/2001,08/31/2001,01/08/2016
2002SU,2002SU,Summer Term 2002,2002SU-Summer Term 2002,06/10/2002,08/20/2002,2002,Academic Year 2001-2002,N,P,2003,2003,08/20/2002,05/01/2002,06/10/2002,06/10/2002,08/20/2002,06/01/2002,08/31/2002,01/08/2016
2003SU,2003SU,Summer Term 2003,2003SU-Summer Term 2003,06/09/2003,08/19/2003,2003,Academic Year 2002-2003,N,P,2004,2004,08/19/2003,05/01/2003,06/10/2003,06/09/2003,08/19/2003,06/01/2003,08/31/2003,01/08/2016
2004SU,2004SU,Summer Term 2004,2004SU-Summer Term 2004,06/07/2004,08/17/2004,2004,Academic Year 2003-2004,N,P,2005,2005,08/17/2004,05/03/2004,06/07/2004,06/07/2004,08/17/2004,06/01/2004,08/31/2004,01/08/2016
2005SU,2005SU,Summer Term 2005,2005SU-Summer Term 2005,06/06/2005,08/16/2005,2005,Academic Year 2004-2005,N,P,2006,2006,08/16/2005,05/02/2005,06/06/2005,06/06/2005,08/16/2005,06/01/2005,08/31/2005,01/08/2016
1958FA,1958FA,Fall Term 1957-1958,1958FA-Fall Term 1957-1958,09/19/1957,01/31/1958,1958,Academic Year 1957-1958,N,P,XXXX,XXXX,01/25/1958,"",09/17/1957,"","","","",01/08/2016
1958SP,1958SP,Spring Term 1957-1958,1958SP-Spring Term 1957-1958,02/10/1958,06/06/1958,1958,Academic Year 1957-1958,N,P,XXXX,XXXX,05/29/1958,"",02/04/1958,"","","","",01/08/2016
1959SP,1959SP,Spring Term 1958-1959,1959SP-Spring Term 1958-1959,02/09/1959,06/05/1959,1959,Academic Year 1958-1959,N,P,XXXX,XXXX,05/29/1959,"",02/04/1959,"","","","",01/08/2016
1958SU,1958SU,Summer Term 1958,1958SU-Summer Term 1958,06/07/1958,08/27/1958,1958,Academic Year 1957-1958,N,P,1960,1960,08/20/1958,"",06/10/1958,"","","","",01/08/2016
1959SU,1959SU,Summer Term 1959,1959SU-Summer Term 1959,06/06/1959,08/26/1959,1959,Academic Year 1958-1959,N,P,1960,1960,08/20/1959,"",06/10/1959,"","","","",01/08/2016
2006FA,2006FA,Fall Term 2005-2006,2006FA-Fall Term 2005-2006,09/06/2005,12/22/2005,2006,Academic Year 2005-2006,N,P,2006,2006,12/22/2005,05/02/2005,09/06/2005,09/07/2005,12/14/2005,09/01/2005,01/15/2006,01/08/2016
2006JA,2006JA,January Term 2005-2006,2006JA-January Term 2005-2006,01/09/2006,02/03/2006,2006,Academic Year 2005-2006,N,P,"","",02/03/2006,12/01/2005,01/09/2006,01/09/2006,02/03/2006,"","",01/08/2016
2007FA,2007FA,Fall Term 2006-2007,2007FA-Fall Term 2006-2007,09/05/2006,12/22/2006,2007,Academic Year 2006-2007,N,P,2007,2007,12/22/2006,05/01/2006,09/05/2006,09/06/2006,12/13/2006,09/01/2006,01/15/2007,01/08/2016
2007JA,2007JA,January Term 2006-2007,2007JA-January Term 2006-2007,01/08/2007,02/04/2007,2007,Academic Year 2006-2007,N,P,"","",02/02/2007,12/01/2006,01/08/2007,01/08/2007,02/02/2007,"","",01/08/2016
2007SP,2007SP,Spring Term 2006-2007,2007SP-Spring Term 2006-2007,02/05/2007,05/25/2007,2007,Academic Year 2006-2007,N,P,2007,2007,05/25/2007,12/01/2006,02/05/2007,02/06/2007,05/17/2007,01/16/2007,05/31/2007,01/08/2016
2006SU,2006SU,Summer Term 2006,2006SU-Summer Term 2006,06/12/2006,08/22/2006,2006,Academic Year 2005-2006,N,P,2007,2007,08/22/2006,05/01/2006,06/12/2006,06/12/2006,08/22/2006,06/01/2006,08/31/2006,01/08/2016
2008FA,2008FA,Fall Term 2007-2008,2008FA-Fall Term 2007-2008,09/04/2007,12/21/2007,2008,Academic Year 2007-2008,N,P,2008,2008,12/21/2007,05/01/2007,09/04/2007,09/05/2007,12/12/2007,09/01/2007,01/15/2008,01/08/2016
2007SU,2007SU,Summer Term 2007,2007SU-Summer Term 2007,06/11/2007,08/21/2007,2007,Academic Year 2006-2007,N,P,2008,2008,08/21/2007,05/01/2007,06/11/2007,06/11/2007,08/21/2007,06/01/2007,08/31/2007,01/08/2016
2008JA,2008JA,January Term 2007-2008,2008JA-January Term 2007-2008,01/07/2008,02/03/2008,2008,Academic Year 2007-2008,N,P,"","",02/01/2008,12/03/2007,01/07/2008,01/07/2008,02/01/2008,"","",01/08/2016
2008SP,2008SP,Spring Term 2007-2008,2008SP-Spring Term 2007-2008,02/04/2008,05/23/2008,2008,Academic Year 2007-2008,N,P,2008,2008,05/23/2008,12/03/2007,02/04/2008,02/05/2008,05/15/2008,01/16/2008,05/31/2008,01/08/2016
2009JA,2009JA,January Term 2008-2009,2009JA-January Term 2008-2009,01/05/2009,02/01/2009,2009,Academic Year 2008-2009,N,P,"","",01/30/2009,12/01/2008,01/05/2009,01/05/2009,01/30/2009,"","",01/08/2016
2010FA,2010FA,Fall Term 2009-2010,2010FA-Fall Term 2009-2010,09/08/2009,12/18/2009,2010,Academic Year 2009-2010,N,P,2010,2010,12/18/2009,05/01/2009,09/08/2009,09/09/2009,12/10/2009,09/01/2009,01/15/2010,01/08/2016
2010JA,2010JA,January Term 2009-2010,2010JA-January Term 2009-2010,01/04/2010,01/31/2010,2010,Academic Year 2009-2010,N,P,"","",01/29/2010,12/01/2009,01/04/2010,01/04/2010,02/01/2010,"","",01/08/2016
2010SP,2010SP,Spring Term 2009-2010,2010SP-Spring Term 2009-2010,02/01/2010,05/21/2010,2010,Academic Year 2009-2010,N,P,2010,2010,05/21/2010,12/01/2009,02/01/2010,02/02/2010,05/13/2010,01/16/2010,05/31/2010,01/08/2016
2009FA,2009FA,Fall Term 2008-2009,2009FA-Fall Term 2008-2009,09/02/2008,12/19/2008,2009,Academic Year 2008-2009,N,P,2009,2009,12/19/2008,05/01/2008,09/02/2008,09/03/2008,12/10/2008,09/01/2008,01/15/2009,01/08/2016
2009SU,2009SU,Summer Term 2009,2009SU-Summer Term 2009,06/08/2009,08/18/2009,2009,Academic Year 2008-2009,N,P,2010,2010,08/18/2009,05/01/2009,06/08/2009,06/08/2009,08/18/2009,06/01/2009,08/31/2009,01/08/2016
2010SU,2010SU,Summer Term 2010,2010SU-Summer Term 2010,06/07/2010,08/17/2010,2010,Academic Year 2009-2010,N,P,2011,2011,08/17/2010,05/03/2010,06/07/2010,06/07/2010,08/17/2010,06/01/2010,08/31/2010,01/08/2016
2011FA,2011FA,Fall Term 2010-2011,2011FA-Fall Term 2010-2011,09/07/2010,12/17/2010,2011,Academic Year 2010-2011,N,P,2011,2011,12/17/2010,05/03/2010,09/07/2010,09/08/2010,12/09/2010,09/01/2010,01/15/2011,01/08/2016
2011JA,2011JA,January Term 2010-2011,2011JA-January Term 2010-2011,01/03/2011,01/30/2011,2011,Academic Year 2010-2011,N,P,"","",01/28/2011,12/01/2010,01/03/2011,01/03/2011,01/31/2011,"","",01/08/2016
2011SP,2011SP,Spring Term 2010-2011,2011SP-Spring Term 2010-2011,01/31/2011,06/05/2011,2011,Academic Year 2010-2011,N,P,2011,2011,05/20/2011,12/01/2010,01/31/2011,02/01/2011,05/12/2011,01/16/2011,05/31/2011,01/08/2016
2011SU,2011SU,Summer Term 2011,2011SU-Summer Term 2011,06/06/2011,08/16/2011,2011,Academic Year 2010-2011,N,P,2012,2012,08/21/2011,05/02/2011,06/06/2011,06/06/2011,08/16/2011,06/01/2011,08/31/2011,01/08/2016
2012FA,2012FA,Fall Term 2011-2012,2012FA-Fall Term 2011-2012,09/06/2011,12/22/2011,2012,Academic Year 2011-2012,N,P,2012,2012,12/22/2011,05/02/2011,09/06/2011,09/07/2011,12/14/2011,09/01/2011,01/15/2012,01/08/2016
2012JA,2012JA,January Term 2011-2012,2012JA-January Term 2011-2012,01/09/2012,02/05/2012,2012,Academic Year 2011-2012,N,P,2012,2012,02/03/2012,12/01/2011,01/09/2012,01/09/2012,02/03/2012,"","",01/08/2016
2012SP,2012SP,Spring Term 2011-2012,2012SP-Spring Term 2011-2012,02/06/2012,06/08/2012,2012,Academic Year 2011-2012,N,P,2012,2012,05/25/2012,12/01/2011,02/06/2012,02/07/2012,05/17/2012,01/16/2012,05/31/2012,01/08/2016
2012SU,2012SU,Summer Term 2012,2012SU-Summer Term 2012,06/11/2012,08/21/2012,2012,Academic Year 2011-2012,N,P,2013,2013,08/21/2012,05/01/2012,06/11/2012,06/11/2012,08/21/2012,06/01/2012,08/31/2012,01/08/2016
2013SP,2013SP,Spring Term 2012-2013,2013SP-Spring Term 2012-2013,02/04/2013,05/24/2013,2013,Academic Year 2012-2013,N,P,2013,2013,05/24/2013,12/03/2012,02/04/2013,02/05/2013,05/16/2013,01/16/2013,05/31/2013,01/08/2016
2013SU,2013SU,Summer Term 2013,2013SU-Summer Term 2013,06/10/2013,08/20/2013,2013,Academic Year 2012-2013,N,P,2014,2014,08/20/2013,05/01/2013,06/10/2013,06/10/2013,08/20/2013,06/01/2013,08/31/2013,01/08/2016
2014JA,2014JA,January Term 2013-2014,2014JA-January Term 2013-2014,01/06/2014,01/31/2014,2014,Academic Year 2013-2014,N,P,2014,2014,01/31/2014,12/02/2013,01/06/2014,01/06/2014,01/31/2014,"","",01/08/2016
2014SP,2014SP,Spring Term 2013-2014,2014SP-Spring Term 2013-2014,02/03/2014,05/23/2014,2014,Academic Year 2013-2014,N,P,2014,2014,05/23/2014,12/02/2013,02/03/2014,02/04/2014,05/15/2014,01/16/2014,05/31/2014,01/08/2016
2014SU,2014SU,Summer Term 2014,2014SU-Summer Term 2014,06/09/2014,08/03/2014,2014,Academic Year 2013-2014,N,P,2015,2015,08/19/2014,05/01/2014,06/09/2014,06/09/2014,08/19/2014,06/01/2014,08/31/2014,01/08/2016
2016FA,2016FA,Fall Term 2015-2016,2016FA-Fall Term 2015-2016,09/08/2015,12/18/2015,2016,Academic Year 2015-2016,N,P,2016,2016,12/18/2015,05/01/2015,09/08/2015,09/09/2015,12/10/2015,09/01/2015,01/15/2016,01/08/2016
2016SP,2016SP,Spring Term 2015-2016,2016SP-Spring Term 2015-2016,02/01/2016,05/20/2016,2016,Academic Year 2015-2016,N,F,2016,2016,05/20/2016,12/01/2015,02/01/2016,"","",01/16/2016,05/31/2016,01/08/2016
2016SU,2016SU,Summer Term 2016,2016SU-Summer Term 2016,06/06/2016,08/16/2016,2016,Academic Year 2015-2016,N,"",2017,2017,08/16/2016,05/01/2016,06/06/2016,"","","","",01/08/2016
2018FA,2018FA,Fall Term 2017-2018,2018FA-Fall Term 2017-2018,09/05/2017,12/22/2017,2018,Academic Year 2017-2018,N,"",2018,2018,12/20/2017,05/01/2017,09/03/2017,"","","","",01/08/2016
2018JA,2018JA,January Term 2017-2018,2018JA-January Term 2017-2018,01/08/2018,02/02/2018,2018,Academic Year 2017-2018,N,"",2018,2018,02/01/2018,12/01/2017,01/07/2018,"","","","",01/08/2016
2018SU,2018SU,Summer Term 2018,2018SU-Summer Term 2018,06/11/2018,08/21/2018,2018,Academic Year 2017-2018,N,"",2019,2019,08/20/2018,05/01/2018,06/10/2018,"","","","",01/08/2016
2019FA,2019FA,Fall Term 2018-2019,2019FA-Fall Term 2018-2019,09/04/2018,12/21/2018,2019,Academic Year 2018-2019,N,"",2019,2019,12/20/2018,05/01/2018,09/03/2018,"","","","",01/08/2016
2019SP,2019SP,Spring Term 2018-2019,2019SP-Spring Term 2018-2019,02/04/2019,05/24/2019,2019,Academic Year 2018-2019,N,"",2019,2019,05/23/2019,12/01/2018,02/03/2019,"","","","",01/08/2016
2019JA,2019JA,January Term 2018-2019,2019JA-January Term 2018-2019,01/07/2019,02/01/2019,2019,Academic Year 2018-2019,N,"",2019,2019,02/01/2019,12/01/2018,01/07/2019,"","","","",01/08/2016
2020FA,2020FA,Fall Term 2019-2020,2020FA-Fall Term 2019-2020,09/03/2019,12/20/2019,2020,Academic Year 2019-2020,N,"",2020,2020,12/20/2019,05/01/2019,09/03/2019,"","","","",01/08/2016
2020JA,2020JA,January Term 2019-2020,2020JA-January Term 2019-2020,01/06/2020,01/31/2020,2020,Academic Year 2019-2020,N,"",2020,2020,02/01/2020,12/01/2019,01/07/2020,"","","","",01/08/2016
