Subject Offered Summary Key,Composite Subject Key,Term Code,Course Number,Subject Id,Subject Id Sort,Subject Title,Master Subject Id,Master Subject Id Sort,Cluster Type,Cluster Type Desc,Cluster List,Hgn Code,Hgn Code Desc,Offer Dept Code,Offer Dept Name,Offer School Name,Responsible Faculty Name,Responsible Faculty Mit Id,Total Units,Lecture Units,Lab Units,Preparation Units,Subject Enrollment Number,Cluster Enrollment Number,Warehouse Load Date,Num Enrolled Students,Subject Grouping Key,Subject Summary Key
10.801998SP,10.801998SP,1998SP,10,10.8,10.8,West Point - Technology,10.8,10.8,,,,H,Higher level graduate program,10,Chemical Engineering,Engineering,"Hatton, T",900025531,6,0,6,0,8,,5/8/01 0:00,8,86CD649598480327E0440003BACE90BC,10.801998SP
10.871998SP,10.871998SP,1998SP,10,10.87,10.87,Midland Station -- Communicatn,10.87,10.87,,,,H,Higher level graduate program,10,Chemical Engineering,Engineering,"Hatton, T",900025531,6,0,6,0,9,,5/8/01 0:00,9,86CD6495984F0327E0440003BACE90BC,10.871998SP
10.9111998SP,10.9111998SP,1998SP,10,10.911,10.911,Independent Research Problem,10.911,10.911,,,,N,Not for graduate credit,10,Chemical Engineering,Engineering,"Mohr, Michael",900024889,1,0,1,0,0,,5/8/01 0:00,0,86CD64959A410327E0440003BACE90BC,10.9111998SP
10.9601998SP,10.9601998SP,1998SP,10,10.96,10.96,Seminar: Polymer Sci & Tech,10.96,10.96,J,Joint subject,"3.903, 10.960",G,Graduate program,10,Chemical Engineering,Engineering,"Rubner, Michael",900003595,2,2,0,0,10,34,5/8/01 0:00,10,86CD64959A420327E0440003BACE90BC,10.9601998SP
10.9621998SP,10.9621998SP,1998SP,10,10.962,10.962,Seminar in Molec Cell Engineer,10.962,10.962,,,,G,Graduate program,10,Chemical Engineering,Engineering,"Lauffenburger, Douglas",900036149,6,2,0,4,8,,5/8/01 0:00,8,86CD64959A440327E0440003BACE90BC,10.9621998SP
10.9741998SP,10.9741998SP,1998SP,10,10.974,10.974,Catalysis & Reaction Eng,10.974,10.974,,,,G,Graduate program,10,Chemical Engineering,Engineering,"Ying, Jackie",900015995,6,2,0,4,0,,5/8/01 0:00,0,86CD64959A480327E0440003BACE90BC,10.9741998SP
22.0931998SP,22.0931998SP,1998SP,22,22.093,22.093,Spec Topics: Nuclear Eng,22.093,22.093,,,,N,Not for graduate credit,22,Nuclear Engineering,Engineering,"Meyer, John",900021342,1,0,1,0,1,,5/8/01 0:00,1,86CD64959C730327E0440003BACE90BC,22.0931998SP
22.1031998SP,22.1031998SP,1998SP,22,22.103,22.103,Microscopic Theory: Transport,22.103,22.103,,,,H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Molvig, Kim",900025546,12,3,0,9,14,,5/8/01 0:00,14,86CD64959C750327E0440003BACE90BC,22.1031998SP
22.2121998SP,22.2121998SP,1998SP,22,22.212,22.212,Reactor Physics Design Method,22.212,22.212,,,,H,Higher level graduate program,22,Nuclear Engineering,Engineering,"Henry, Allan",900015072,6,2,0,4,2,,5/8/01 0:00,2,86CD64959C760327E0440003BACE90BC,22.2121998SP
1.921998FA,1.921998FA,1998FA,1,1.92,1.92,Adv Civ & Envir Eng Internship,1.92,1.92,,,,G,Graduate program,1,Civil and Environmental Eng,Engineering,"Buyukozturk, Oral",900017152,6,0,6,0,0,,5/8/01 0:00,0,86CD64958FFE0327E0440003BACE90BC,1.921998FA
1.9621998FA,1.9621998FA,1998FA,1,1.962,1.962,Sp Grad Stud: Civil & Env Eng,1.962,1.962,,,,H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Stewart, Cynthia",900018738,1,0,1,0,10,,5/8/01 0:00,10,86CD6495907D0327E0440003BACE90BC,1.9621998FA
1.9641998FA,1.9641998FA,1998FA,1,1.964,1.964,Sp Grad Stud: Civil & Env Eng,1.964,1.964,,,,H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Martland, C",900014965,1,0,1,0,0,,5/8/01 0:00,0,86CD6495907F0327E0440003BACE90BC,1.9641998FA
1.9681998FA,1.9681998FA,1998FA,1,1.968,1.968,Grad Studies: Civil & Env Eng,1.968,1.968,,,,G,Graduate program,1,Civil and Environmental Eng,Engineering,"Stewart, Cynthia",900018738,1,0,1,0,2,,5/8/01 0:00,2,86CD649590820327E0440003BACE90BC,1.9681998FA
1.9911998FA,1.9911998FA,1998FA,1,1.991,1.991,Spec Stud: Civil & Environ Eng,1.991,1.991,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Germaine, John",900015686,1,0,1,0,2,,5/8/01 0:00,2,86CD649590870327E0440003BACE90BC,1.9911998FA
1.NIV1998FA,1.NIV1998FA,1998FA,1,1.NIV,  1.NIV,Visiting Student Research,1.NIV,  1.NIV,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,,,1,0,1,0,3,,5/8/01 0:00,3,86CD6495908D0327E0440003BACE90BC,1.NIV1998FA
1.UR1998FA,1.UR1998FA,1998FA,1,1.UR,  1.UR,Undergraduate Research,1.UR,  1.UR,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Whittle, Andrew",900012511,1,0,1,0,1,,5/8/01 0:00,1,86CD64958FFF0327E0440003BACE90BC,1.UR1998FA
2.0061998FA,2.0061998FA,1998FA,2,2.006,2.006,Thermal-Fluids Engineering II,2.006,2.006,,,,N,Not for graduate credit,2,Mechanical Engineering,Engineering,"Kamm, Roger",900025430,12,4,0,8,56,,5/8/01 0:00,56,86CD649590D60327E0440003BACE90BC,2.0061998FA
1.001998FA,1.001998FA,1998FA,1,1,1,Computers & Engin Prob Solving,1,1,,,"1.00, 1.001",N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Lerman, Steven",900017622,12,3,1,8,111,127,5/8/01 0:00,111,86CD64958FE60327E0440003BACE90BC,1.001998FA
1.0011998FA,1.001998FA,1998FA,1,1.001,1.001,Intro to Computers & Eng Prob,1,1,M,Meeting Together,"1.00, 1.001",G,Graduate program,1,Civil and Environmental Eng,Engineering,"Lerman, Steven",900017622,9,3,1,5,16,127,5/8/01 0:00,16,86CD64958FE60327E0440003BACE90BC,1.0011998FA
1.031998FA,1.031998FA,1998FA,1,1.03,1.03,Intro to Prob & Stat for Engin,1.03,1.03,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Veneziano, Daniele",900003196,12,3,2,7,30,,5/8/01 0:00,30,86CD64958FE70327E0440003BACE90BC,1.031998FA
1.1051998FA,1.1051998FA,1998FA,1,1.105,1.105,Structural Engineering Lab,1.105,1.105,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Bucciarelli, Louis",900015579,6,0,3,3,9,,5/8/01 0:00,9,86CD6495905A0327E0440003BACE90BC,1.1051998FA
1.1061998FA,1.1061998FA,1998FA,1,1.106,1.106,Fluid Mechanics Lab,1.106,1.106,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Adams, E",900028328,6,0,2,4,1,,5/8/01 0:00,1,86CD6495905B0327E0440003BACE90BC,1.1061998FA
1.1201998FA,1.1201998FA,1998FA,1,1.12,1.12,Info Tech M.Eng Project,1.12,1.12,,,,H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Pena-Mora, Feniosky",900005309,15,5,0,10,7,,5/8/01 0:00,7,86CD6495905D0327E0440003BACE90BC,1.1201998FA
1.1331998FA,1.1331998FA,1998FA,1,1.133,1.133,MEng Concepts of Eng Practice,1.133,1.133,,,,H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Adams, E",900028328,9,3,0,6,33,,5/8/01 0:00,33,86CD649590600327E0440003BACE90BC,1.1331998FA
1.2001998FA,1.2001998FA,1998FA,1,1.2,1.2,Transport Systems Analysis,1.2,1.2,,,,G,Graduate program,1,Civil and Environmental Eng,Engineering,"Barnhart, Cynthia",900000856,12,3,1,8,14,,5/8/01 0:00,14,86CD649590630327E0440003BACE90BC,1.2001998FA
1.2011998FA,1.2011998FA,1998FA,1,1.201,1.201,Transportation Systems,1.201,1.201,J,Joint subject,"1.201, 11.527",H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Sussman, Joseph",900019181,9,3,0,6,21,30,5/8/01 0:00,21,86CD649590640327E0440003BACE90BC,1.2011998FA
1.2511998FA,1.2511998FA,1998FA,1,1.251,1.251,Transp & Govt:Pub Policy & Pol,1.251,1.251,J,Joint subject,"1.251, 11.379",G,Graduate program,1,Civil and Environmental Eng,Engineering,"Gakenheimer, Ralph",900021635,9,3,0,6,0,0,5/8/01 0:00,0,86CD649590660327E0440003BACE90BC,1.2511998FA
1.271998FA,1.271998FA,1998FA,1,1.27,1.27,Studies-Transport Engineering,1.27,1.27,,,,H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Wilson, Nigel",900029642,1,0,1,0,0,,5/8/01 0:00,0,86CD64958FE90327E0440003BACE90BC,1.271998FA
1.2831998FA,14.5731998FA,1998FA,1,1.283,1.283,Cities&Regions:Urb Ec &Pub Pol,14.573,14.573,J,Joint subject,"1.283, 11.410, 14.573",H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Wheaton, William",900020616,12,3,0,9,4,13,5/8/01 0:00,4,86CD649593DF0327E0440003BACE90BC,1.2831998FA
1.301998FA,1.301998FA,1998FA,1,1.3,1.3,Intro Geotechnical Engineering,1.3,1.3,,,,N,Not for graduate credit,1,Civil and Environmental Eng,Engineering,"Whittle, Andrew",900012511,12,3,2,7,11,,5/8/01 0:00,11,86CD64958FEA0327E0440003BACE90BC,1.301998FA
1.3611998FA,1.3611998FA,1998FA,1,1.361,1.361,Advanced Soil Mechanics,1.361,1.361,,,,H,Higher level graduate program,1,Civil and Environmental Eng,Engineering,"Ladd, Charles",900014781,12,3,0,9,8,,5/8/01 0:00,8,86CD6495906A0327E0440003BACE90BC,1.3611998FA
22.A011998FA,22.A011998FA,1998FA,22,22.A01, 22.A01,Fatigue & Fracture,22.A01, 22.A01,,,,N,Not for graduate credit,22,Nuclear Engineering,Engineering,"Ballinger, Ronald",900015399,6,2,0,4,9,,5/8/01 0:00,9,86CD6495950D0327E0440003BACE90BC,22.A011998FA
6.0211998FA,6.0211998FA,1998FA,6,6.021,6.021,Quant Physiology:Cells&Tissues,6.021,6.021,M,Meeting Together,"2.791, 2.794, 6.021, 6.521, HST.541",N,Not for graduate credit,6,Electrical Eng & Computer Sci,Engineering,"Freeman, Dennis",900021351,12,5,2,5,47,61,5/8/01 0:00,47,86CD649591D10327E0440003BACE90BC,6.0211998FA
